subject,n_ratings,mean_rating,std_rating,correlation,correlation_pvalue,kurtosis,mean_abs_deviation,is_low_correlation,is_high_kurtosis,is_high_deviation,outlier_score,is_outlier
59e7aa3e-a416-0f78-f6e5-473aa4453dd6,27,3.3703703703703702,1.6904288975138402,0.6696633439740443,0.00013321647401817486,-1.4148049371327691,1.0692940730697322,False,False,False,0,False
0e178a98-d08c-f9f6-4e9b-0fe4eb2ce9ca,5,2.4,1.51657508881031,0.8637344351989301,0.05913312856963345,-1.7703213610586006,0.9096085322000651,False,False,False,0,False
f8c58981-bdca-2223-33f2-64b3e5d94720,27,3.259259259259259,1.4030897935132194,0.5014415278330295,0.007706771508511881,-1.2036761672192198,1.0030256976326821,False,False,False,0,False
79a49caf-7449-1033-43ca-a6e9ec5fcbc0,27,2.962962962962963,1.5806882989936688,0.7642874619418982,3.478929527879334e-06,-1.5182076088666532,0.8298866358524088,False,False,False,0,False
cc636db8-32ce-5418-b6f9-946472e1a819,27,3.074074074074074,1.5671121388849156,0.6885836040674158,7.162679140535894e-05,-1.453585521180441,0.9661023475337179,False,False,False,0,False
e2a12898-a924-751e-456f-5d7b4a45f24d,27,3.3333333333333335,1.3301243435223524,0.6926416700353364,6.232831083151812e-05,-1.0519848771266536,0.8088550487547573,False,False,False,0,False
b071e81c-6c1d-12c8-9c1f-064839f3940d,27,3.259259259259259,1.3471506281091268,0.4463960385586451,0.01959253168907802,-1.024347596785363,1.0306051532919323,True,False,False,1,False
1c121534-02f1-77bf-629e-4e2566f9df5d,27,3.2222222222222223,1.5525000516123695,0.5933346572396763,0.00110580707388326,-1.4317564508827523,0.9820047996371719,False,False,False,0,False
9af53cfa-b34d-cb99-d06e-8e005d186f8d,27,2.5555555555555554,1.5275252316519465,0.40677199196714503,0.035233723175385236,-1.3489312884917277,1.2482005723691967,True,False,False,1,False
d95fe349-ad39-f6ab-1055-dd22ae86b7c0,27,3.1481481481481484,1.6572382889731778,0.38854614683067984,0.04518871219846894,-1.684659139821972,1.1639457348742466,True,False,False,1,False
854f9938-5372-e0a5-5559-3350a3362831,27,3.5185185185185186,0.9352239703107885,0.1192264090804608,0.5536343612741637,0.47792019013464415,1.0764030280078118,True,False,False,1,True
6199a0a6-06e5-a224-f6be-4dc5315bcf35,27,3.2222222222222223,1.3397282541141675,0.6977670360592592,5.2122630790614966e-05,-1.2391836734693877,0.7353621555910053,False,False,False,0,False
0a5cf086-df2e-b6b6-241c-9864ee8e889e,27,3.5185185185185186,1.3691763489937572,0.6355096903634445,0.0003680863293197126,-0.9403530085642222,0.8921593103249511,False,False,False,0,False
cf820008-689a-a6e1-7a28-346fd7923418,27,2.5185185185185186,1.6259995829872294,0.5195007915571206,0.005485073258211084,-1.5719114614298455,1.2475383147163963,False,False,False,0,False
6af66b2e-9c34-f468-acfb-fca0f1a25fbd,27,3.074074074074074,1.491667263524686,0.6994411006835483,4.9126756388994716e-05,-1.4135797206706662,0.8965327788811686,False,False,False,0,False
2310cea3-2d26-e03e-0765-6a1051283a23,27,3.2962962962962963,1.137298242963249,0.7407631225117618,9.931131128088055e-06,-0.6664402569426926,0.5503260826820665,False,False,False,0,False
